date,value
2021-01-01,0.8594803810119629
2021-01-02,1.1181434392929077
2021-01-03,2.3370144367218018
2021-01-04,2.1081714630126953
2021-01-05,1.3467382192611694
2021-01-06,1.163933277130127
2021-01-07,0.45739200711250305
2021-01-08,1.2964177131652832
2021-01-09,3.3793416023254395
2021-01-10,1.8626328706741333
2021-01-11,2.328732490539551
2021-01-12,1.5909076929092407
2021-01-13,0.01270833145827055
2021-01-14,-0.15483951568603516
2021-01-15,2.47934889793396
2021-01-16,2.2015111446380615
2021-01-17,1.5610888004302979
2021-01-18,-0.10807830095291138
2021-01-19,1.2943209409713745
2021-01-20,1.217509388923645
2021-01-21,-0.44539958238601685
2021-01-22,-0.4832306504249573
2021-01-23,0.7082434892654419
2021-01-24,0.1661064773797989
2021-01-25,-0.4706200063228607
2021-01-26,0.1129690557718277
2021-01-27,1.0343154668807983
2021-01-28,1.4132221937179565
2021-01-29,-0.43145936727523804
2021-01-30,-0.19661396741867065
2021-01-31,0.3664553463459015
2021-02-01,0.7421773672103882
2021-02-02,0.29088783264160156
2021-02-03,-0.9861185550689697
2021-02-04,2.5294742584228516
2021-02-05,-1.0877602100372314
2021-02-06,2.559410572052002
2021-02-07,6.741427898406982
2021-02-08,4.621694564819336
2021-02-09,2.566938877105713
2021-02-10,1.3124990463256836
2021-02-11,1.0896403789520264
2021-02-12,0.7258353233337402
2021-02-13,2.4426016807556152
2021-02-14,2.7948968410491943
2021-02-15,2.396246910095215
2021-02-16,2.6163294315338135
2021-02-17,1.6286966800689697
2021-02-18,1.957252860069275
2021-02-19,0.432451993227005
2021-02-20,0.13214953243732452
2021-02-21,0.12225793302059174
2021-02-22,0.1353871077299118
2021-02-23,0.7325900793075562
2021-02-24,1.8160901069641113
2021-02-25,1.0345100164413452
2021-02-26,-0.02874848060309887
2021-02-27,-0.4326189160346985
2021-02-28,-0.8302804231643677
2021-03-01,3.367568254470825
2021-03-02,2.010399341583252
2021-03-03,1.660887598991394
2021-03-04,5.946743011474609
2021-03-05,9.18248176574707
2021-03-06,6.682536602020264
2021-03-07,2.2092490196228027
2021-03-08,3.5814876556396484
2021-03-09,5.1879754066467285
2021-03-10,5.738811492919922
2021-03-11,8.128713607788086
2021-03-12,3.9854283332824707
2021-03-13,0.7110433578491211
2021-03-14,0.36011803150177
2021-03-15,1.047791838645935
2021-03-16,3.693355083465576
2021-03-17,4.772194862365723
2021-03-18,7.229128360748291
2021-03-19,8.335433959960938
2021-03-20,7.58432149887085
2021-03-21,7.3276143074035645
2021-03-22,8.469145774841309
2021-03-23,6.090169429779053
2021-03-24,7.473781108856201
2021-03-25,4.674919128417969
2021-03-26,5.423378944396973
2021-03-27,4.197611331939697
2021-03-28,16.294897079467773
2021-03-29,10.530482292175293
2021-03-30,9.931075096130371
2021-03-31,7.9026780128479
2021-04-01,13.301511764526367
2021-04-02,16.583023071289062
2021-04-03,8.928236961364746
2021-04-04,4.815354347229004
2021-04-05,11.561857223510742
2021-04-06,5.527895927429199
2021-04-07,0.7037527561187744
2021-04-08,5.23210334777832
2021-04-09,4.63051700592041
2021-04-10,4.111838340759277
2021-04-11,9.360554695129395
2021-04-12,10.567038536071777
2021-04-13,18.75230598449707
2021-04-14,21.742328643798828
2021-04-15,26.571685791015625
2021-04-16,31.774568557739258
2021-04-17,28.641271591186523
2021-04-18,35.30229949951172
2021-04-19,29.644943237304688
2021-04-20,24.2767391204834
2021-04-21,29.775657653808594
2021-04-22,28.217058181762695
2021-04-23,29.258041381835938
2021-04-24,28.195802688598633
2021-04-25,31.15840721130371
2021-04-26,29.48162078857422
2021-04-27,19.959327697753906
2021-04-28,37.141258239746094
2021-04-29,38.9641227722168
2021-04-30,38.11166763305664
2021-05-01,39.87092208862305
2021-05-02,44.0845832824707
2021-05-03,37.73485565185547
2021-05-04,41.19061279296875
2021-05-05,48.266319274902344
2021-05-06,43.45558166503906
2021-05-07,41.759830474853516
2021-05-08,29.433849334716797
2021-05-09,25.718046188354492
2021-05-10,33.28253936767578
2021-05-11,44.680320739746094
2021-05-12,48.461055755615234
2021-05-13,48.00173568725586
2021-05-14,50.742271423339844
2021-05-15,54.3890380859375
2021-05-16,52.49436950683594
2021-05-17,54.501461029052734
2021-05-18,52.081172943115234
2021-05-19,33.93489456176758
2021-05-20,44.3677864074707
2021-05-21,50.02090835571289
2021-05-22,51.68946838378906
2021-05-23,56.91147232055664
2021-05-24,56.69532775878906
2021-05-25,56.0994873046875
2021-05-26,52.53605651855469
2021-05-27,50.85007858276367
2021-05-28,47.4803352355957
2021-05-29,50.30406188964844
2021-05-30,50.61546325683594
2021-05-31,40.17755126953125
2021-06-01,39.60858917236328
2021-06-02,42.1400032043457
2021-06-03,44.036651611328125
2021-06-04,50.76510238647461
2021-06-05,39.64435958862305
2021-06-06,38.486419677734375
2021-06-07,37.32819747924805
2021-06-08,36.241180419921875
2021-06-09,37.65914535522461
2021-06-10,36.74346160888672
2021-06-11,35.71322250366211
2021-06-12,37.74750900268555
2021-06-13,36.482452392578125
2021-06-14,35.645870208740234
2021-06-15,35.674537658691406
2021-06-16,34.52466583251953
2021-06-17,34.410377502441406
2021-06-18,34.27838897705078
2021-06-19,28.419204711914062
2021-06-20,33.36507797241211
2021-06-21,31.21754264831543
2021-06-22,19.41757583618164
2021-06-23,25.96982192993164
2021-06-24,30.571474075317383
2021-06-25,24.387754440307617
2021-06-26,26.630796432495117
2021-06-27,32.21338653564453
2021-06-28,28.146867752075195
2021-06-29,31.181549072265625
2021-06-30,32.488765716552734
