fid,id,Z,Y,X
0,169,0,5857505.654718791,491311.3619361042
0,170,0,5857432.054132474,491135.4513904851
0,171,0,5857395.499696991,490953.7688586368
0,172,0,5857337.266132764,490774.7318606522
0,173,0,5857350.942803902,490594.1296916871
0,174,0,5857247.9160054065,490443.63695076125
0,175,0,5857213.345237753,490261.82070202514
0,176,0,5857178.770841716,490079.9875988486
0,177,0,5857138.732257431,489898.6388304481
0,178,0,5857086.32795447,489719.38670093095
0,179,0,5857072.139439791,489536.601810113
0,180,0,5857022.221707426,489356.608030587
0,181,0,5856964.7155592935,489176.8807447357
0,182,0,5856903.728602377,488997.55532467784
0,183,0,5856836.375949772,488819.2592688801
0,184,0,5856758.880771075,488642.4960284287
0,185,0,5856705.769984077,488462.59438940446
0,186,0,5856618.890773584,488287.21810333856
0,187,0,5856527.72675813,488112.59218516893
0,188,0,5856426.746954825,487940.05352366675
0,189,0,5856303.913160356,487827.19245254644
0,190,0,5856315.603142767,487690.34450231213
0,191,0,5856252.571933185,487516.2872741137
0,192,0,5856114.718596715,487356.8069360517
0,193,0,5856048.208418795,487178.7910065002
0,194,0,5855934.414045301,487010.5345818316
0,195,0,5855827.9515791,486839.2346858048
0,196,0,5855762.285619068,486660.59083800646
0,197,0,5855687.2426028615,486484.2998785721
0,198,0,5855559.240124537,486318.23467596946
0,199,0,5855491.9277033415,486141.2667451371
0,200,0,5855407.106361517,485966.85071465967
0,201,0,5855356.211893405,485786.472003807
0,202,0,5855282.478844282,485609.4744377565
0,203,0,5855190.859280567,485439.5353923769
0,204,0,5855073.061089071,485283.52243884496
0,205,0,5854965.629361187,485114.34032502095
0,206,0,5854863.4037077855,484941.9176752286
0,207,0,5854747.271396993,484772.67392628547
0,208,0,5854637.204677462,484602.028557793
0,209,0,5854539.949682357,484428.4754414903
0,210,0,5854447.259382478,484254.0231216488
0,211,0,5854340.054063112,484085.4958237027
0,212,0,5854275.32482634,483906.64713939175
0,213,0,5854183.552763587,483739.3485131036
0,214,0,5854304.794133177,483879.02669051645
0,215,0,5854401.717473598,484052.5128714108
0,216,0,5854562.383404241,484177.0146544434
0,217,0,5854783.592817181,484114.0248951443
0,218,0,5854682.364658917,483956.35649048426
0,219,0,5854514.980711586,483808.5041648415
0,220,0,5854308.107735088,483681.3331369018
0,221,0,5854119.436287119,483668.4491389254
0,222,0,5854118.4705179585,483562.59340407164
0,223,0,5854226.675457915,483673.8699624809
0,224,0,5854120.160458532,483531.5916029409
0,225,0,5854023.499361932,483372.9810432825
0,226,0,5853963.658571434,483197.3811095848
0,227,0,5854021.174424696,483095.36481671967
0,228,0,5854166.513886176,483242.2579391142
0,229,0,5854316.425169698,483309.09164418286
0,230,0,5854505.395177159,483452.1676119498
0,231,0,5854583.488688723,483580.9332963007
0,232,0,5854457.791833179,483560.7088428995
0,233,0,5854557.1659220625,483728.1654420728
0,234,0,5854768.902300253,483787.1635823878
0,235,0,5854900.521585663,483753.31705759827
0,236,0,5854678.527704832,483634.56569527386
0,237,0,5854748.72107137,483561.43966644985
0,238,0,5854675.972638972,483431.31320268655
0,239,0,5854909.54588507,483403.1329745983
0,240,0,5855012.300695417,483552.47540263896
0,241,0,5855188.211112679,483560.6239758745
0,242,0,5855293.067982051,483691.9391148323
0,243,0,5855268.361627445,483873.9014779257
0,244,0,5855289.770465015,484055.1764483762
0,245,0,5855361.316840996,484232.5562853829
0,246,0,5855507.593316689,484390.45631437155
0,247,0,5855495.270836925,484569.156289965
0,248,0,5855554.376923486,484743.39269712893
0,249,0,5855719.701588425,484896.87549837533
0,250,0,5855785.587196628,485074.3012864208
0,251,0,5855870.616270943,485249.7914617163
0,252,0,5855965.216158212,485423.81724685954
0,253,0,5856048.643366526,485599.9065635055
0,254,0,5856136.270112574,485775.20624835073
0,255,0,5856213.916859829,485952.23032691964
0,256,0,5856284.3727867035,486130.30441702704
0,257,0,5856375.691645323,486304.4845124645
0,258,0,5856461.277315407,486480.10197893897
0,259,0,5856562.89260305,486651.812993138
0,260,0,5856618.951350951,486831.21118953155
0,261,0,5856733.397334683,487000.80208970845
0,262,0,5856843.508935577,487169.83003127715
0,263,0,5856899.841248157,487349.70140215027
0,264,0,5856943.728488005,487530.83454448456
0,265,0,5857039.555754784,487702.9257017296
0,266,0,5857113.9253060715,487878.9626518586
0,267,0,5857217.10636116,488051.006310064
0,268,0,5857317.921010249,488223.47267911775
0,269,0,5857429.839235555,488389.6306329575
0,270,0,5857468.502245772,488569.5981114623
0,271,0,5857519.721730421,488749.9861898759
0,272,0,5857630.365126616,488904.40712072793
0,273,0,5857572.683432964,489080.95351119345
0,274,0,5857609.234766656,489261.00046794495
0,275,0,5857673.541541577,489439.1251987176
0,276,0,5857765.381825355,489613.24667467526
0,277,0,5857870.686131033,489778.1082604441
0,278,0,5857973.207956043,489946.1643527445
0,279,0,5858040.865396193,490118.6582242965
0,280,0,5858006.957064116,490299.3351301102
0,281,0,5858030.181354102,490449.07419397845
0,282,0,5858065.184813228,490613.60838622163
0,283,0,5858072.988687831,490792.1341272111
0,284,0,5858172.761014873,490961.68572527217
0,285,0,5858240.454205479,491136.6001497731
0,286,0,5858250.864765079,491310.3850549975
0,287,0,5858369.758339693,491474.0323541219
0,288,0,5858462.714753462,491647.0204817003
0,289,0,5858663.472512623,491736.0969829253
0,290,0,5858603.451495682,491890.5374979335
0,291,0,5858590.533270117,492072.04598180676
0,292,0,5858649.217864601,492237.2695885049
0,293,0,5858614.777473433,492411.18222266954
0,294,0,5858756.681832512,492549.320213562
0,295,0,5858763.269916502,492732.2032491901
0,296,0,5858835.156750777,492793.4703909808
0,297,0,5858896.340923794,492888.85393362585
0,298,0,5858963.201357578,492971.0545930596
0,299,0,5859075.8360147625,493136.7497718877
0,300,0,5859254.913551912,493270.82994280953
0,301,0,5859328.877745598,493423.1523292511
0,302,0,5859349.638280863,493604.81391938415
0,303,0,5859454.273389748,493776.2734656882
0,304,0,5859585.765417963,493940.99459180445
0,305,0,5859589.241887014,494123.8843421168
0,306,0,5859600.388492234,494271.68036156846
0,307,0,5859663.0800939165,494440.49663834315
0,308,0,5859795.07559213,494600.7881565165
0,309,0,5859851.425329829,494780.19420210965
0,310,0,5859933.445591952,494951.8042005977
0,311,0,5860014.53876935,495125.48673393205
0,312,0,5860048.048324321,495306.96132025955
