date,volume_mcm,area_km2,precipitation_volume_mcm,evaporation_volume_mcm,delta_volume_mcm,runoff_volume_mcm,temp_C,residual_mcm
2025-07-17,217.5964901681004,67.21970292434118,0.0,0.20700742256752805,,0.0,,
2025-07-18,217.38948274553286,67.21219288761546,0.0,0.18422183735870654,-0.20700742256752847,0.0,,-0.02278558520882193
2025-07-19,217.20526090817415,67.20550949072525,0.0,0.17021198204626112,-0.1842218373587059,0.0,,-0.01400985531244478
2025-07-20,217.0350489261279,67.19933435835333,0.0,0.1661691113926862,-0.1702119820462542,0.0,,-0.004042870653568009
2025-07-21,216.8688798147352,67.19330589756792,0.0,0.16067220427701098,-0.16616911139269064,0.0,,-0.005496907115679656
2025-07-22,216.7082076104582,67.18747685945927,0.0,0.1910054625327382,-0.1606722042770059,0.0,,0.0303332582557323
2025-07-23,216.51720214792547,67.18054735895808,0.0,0.15130832147203224,-0.1910054625327291,0.0,,-0.039697141060696856
2025-07-24,216.36589382645343,67.175058033807,0.0,0.12247162388401552,-0.15130832147204387,0.0,,-0.028836697588028357
2025-07-25,216.2434222025694,67.17061487721958,0.0,0.13346097446995717,-0.12247162388402444,0.0,,0.010989350585932728
2025-07-26,216.10996122809945,67.16577303721556,0.0,0.13684667480849955,-0.13346097446995486,0.0,,0.0033857003385446838
2025-07-27,215.97311455329094,67.16080836715274,0.0,0.1247199052483755,-0.13684667480850976,0.0,,-0.012126769560134254
2025-07-28,215.84839464804256,67.15628364500884,0.0,0.15492939933478556,-0.12471990524838361,0.0,,0.030209494086401945
2025-07-29,215.69346524870778,67.15045783124856,0.0,0.15704354765259865,-0.154929399334776,0.0,,0.0021141483178226395
2025-07-30,215.5364217010552,67.1444889976735,0.0,0.1551793230847427,-0.15704354765259154,0.0,,-0.001864224567848849
2025-07-31,215.38124237797044,67.13859101862484,0.0,0.18274210809938124,-0.15517932308475224,0.0,,0.027562785014629
2025-08-01,215.19850026987106,67.13164544686016,0.0,0.19745889481956658,-0.18274210809937586,0.0,,0.014716786720190722
2025-08-02,215.0010413750515,67.12414052673635,0.0,0.1636028367075807,-0.1974588948195617,0.0,,-0.033856058111981
2025-08-03,214.83743853834392,67.11792239094336,0.0,0.16636337812079818,-0.16360283670758236,0.0,,0.002760541413215828
2025-08-04,214.67107516022313,67.11159933385615,0.0,0.14278734962237138,-0.16636337812079205,0.0,,-0.023576028498420665
2025-08-05,214.52828781060074,67.10617234281284,0.0,0.15229284347482974,-0.14278734962238104,0.0,,0.009505493852448699
2025-08-06,214.3759949671259,67.10038407165518,0.0,0.15843896091776272,-0.1522928434748394,0.0,,0.006146117442923316
2025-08-07,214.21755600620816,67.09436220190211,0.0,0.1254928173822894,-0.15843896091774923,0.0,,-0.032946143535459826
2025-08-08,214.09206318882588,67.08959253289618,0.0,0.2066457230721553,-0.12549281738228046,0.0,,0.08115290568987485
2025-08-09,213.88541746575373,67.0817384443427,0.0,0.08327845463954614,-0.20664572307214257,0.0,,-0.12336726843259643
2025-08-10,213.80213901111418,67.07857323798076,0.0,0.12936641311757924,-0.08327845463955441,0.0,,0.046087958478024826
2025-08-11,213.6727725979966,67.0736563432618,0.0,0.10102584195065517,-0.12936641311756603,0.0,,-0.028340571166910855
2025-08-12,213.57174675604597,67.06981660297068,0.0,0.12097537251787273,-0.10102584195064424,0.0,,0.019949530567228493
2025-08-13,213.4507713835281,67.0652186307774,0.0,0.11645162321460867,-0.12097537251787571,0.0,,-0.004523749303267044
2025-08-14,213.3343197603135,67.06079259501277,0.0,0.1100901932351285,-0.11645162321460134,0.0,,-0.006361429979472838
2025-08-15,213.22422956707837,67.05660834133607,0.0,0.10005017115777107,-0.11009019323512348,0.0,,-0.010040022077352412
2025-08-16,213.1241793959206,67.05280568385844,0.0,0.11464184508154021,-0.10005017115776127,0.0,,0.014591673923778942
2025-08-17,213.00953755083907,67.048448433247,0.0,0.096883465394292,-0.11464184508153608,0.0,,-0.017758379687244072
2025-08-18,212.91265408544479,67.04476613435757,0.0,0.11222627636234847,-0.09688346539428494,0.0,,0.01534281096806353
2025-08-19,212.80042780908244,67.04050069348867,0.0,0.10245548636615849,-0.11222627636234961,0.0,,-0.009770789996191118
2025-08-20,212.69797232271628,67.03660661597888,0.0,0.10662748886590406,-0.10245548636615354,0.0,,0.004172002499750527
2025-08-21,212.59134483385037,67.03255397105917,0.0,0.08486970488335367,-0.10662748886591089,0.0,,-0.02175778398255722
2025-08-22,212.50647512896703,67.02932828524409,0.0,0.1348031830134003,-0.08486970488334578,0.0,,0.049933478130054526
2025-08-23,212.37167194595364,67.02420475246085,0.0,0.12071714563680702,-0.13480318301338912,0.0,,-0.014086037376582095
2025-08-24,212.25095480031683,67.0196165948273,0.0,0.09686694541709347,-0.12071714563680302,0.0,,-0.023850200219709558
2025-08-25,212.15408785489973,67.01593492382099,0.0,0.11149274731609281,-0.09686694541710494,0.0,,0.014625801898987864
2025-08-26,212.04259510758362,67.01169736256169,0.0,0.11417399315540627,-0.11149274731610603,0.0,,0.002681245839300239
2025-08-27,211.9284211144282,67.00735789383515,0.0,0.09812162081469708,-0.11417399315541843,0.0,,-0.01605237234072135
2025-08-28,211.8302994936135,67.00362853574619,0.0,0.09772003605234524,-0.09812162081470888,0.0,,-0.00040158476236364093
2025-08-29,211.73257945756114,66.99991444089247,0.0,0.12052978081748061,-0.09772003605235113,0.0,,0.02280974476512948
2025-08-30,211.61204967674365,66.99533340452841,0.0,0.09740884033885161,-0.12052978081749188,0.0,,-0.023120940478640273
