date,area_km2,volume_mcm,evaporation_mm,precipitation_mm,delta_volume_mcm,precipitation_volume_mcm,evaporation_volume_mcm,residual_mcm
2022-11-16,44.44094146550348,193.27371734106532,0.17377345,0.0,-1.2049487605294473,0.0,0.007722655719708596,-1.1972261048097388
2022-11-17,44.26179893465887,192.0687685805359,0.108423166,0.0,-1.204948760529419,0.0,0.0047990043733511425,-1.2001497561560677
2022-11-18,44.08265640381427,190.86381982000648,0.058187317,0.0,-1.204948760529419,0.0,0.0025650515023708208,-1.2023837090270482
2022-11-19,43.90351387296966,189.65887105947704,0.07742933,0.0,-1.2049487605294473,0.0,0.0033994196638297463,-1.2015493408656175
2022-11-20,43.72437134212505,188.4539222989476,0.052163873,0.0,-1.2049487605294473,0.0,0.002280832553695451,-1.202667927975752
2022-11-21,43.545228811280445,187.24897353841817,0.012161084,0.0,-1.204948760529419,0.0,0.0005295571853732018,-1.2044192033440457
2022-11-22,43.36608628043584,186.04402477788872,0.05733491,0.0,-1.2049487605294473,0.0,0.0024863906539410235,-1.2024623698755064
2022-11-23,43.18694374959124,184.8390760173593,0.07081222,0.0,-1.204948760529419,0.0,0.0030581633619236794,-1.2018905971674951
2022-11-24,43.00780121874663,183.63412725682986,0.20437436,0.0,-1.2049487605294473,0.0,0.008789691849088562,-1.1961590686803587
2022-11-25,42.82865868790202,182.42917849630044,0.11951562,0.0,-1.204948760529419,0.0,0.005118693696852997,-1.1998300668325659
2022-11-26,42.64951615705742,181.224229735771,0.09737804,0.0,-1.2049487605294473,0.0,0.004153126290322584,-1.2007956342391248
2022-11-27,42.470373626212805,180.01928097524154,0.10013446,0.0,-1.2049487605294473,0.0,0.004252747929059061,-1.2006960126003883
2022-11-28,42.291231095368204,178.81433221471212,0.12826425,0.0,-1.204948760529419,0.0,0.005424453038024081,-1.1995243074913948
2022-11-29,42.112088564523596,177.6093834541827,0.03648978,0.0,-1.204948760529419,0.0,0.0015366608470599819,-1.203412099682359
2022-11-30,41.93294603367899,176.40443469365326,0.026863994,0.0,-1.2049487605294473,0.0,0.0011264864106510762,-1.2038222741187963
2022-12-01,41.75380350283439,175.1994859331238,0.05667439,0.0,-1.2049487605294473,0.0,0.002366371343703002,-1.2025823891857443
2022-12-02,41.57466097198978,173.9945371725944,0.09376502,0.0,-1.204948760529419,0.0,0.0038982489175318413,-1.201050511611887
2022-12-03,41.39551844114517,172.78958841206494,0.093337476,0.0,-1.2049487605294473,0.0,0.003863753209007945,-1.2010850073204393
2022-12-04,41.21637591030056,171.5846396515355,0.08422508,0.0,-1.2049487605294473,0.0,0.0034714525583551376,-1.201477307971092
2022-12-05,41.037233379455955,170.37969089100608,0.024515549,0.0,-1.204948760529419,0.0,0.0010060503057384882,-1.2039427102236804
2022-12-06,40.858090848611354,169.17474213047666,0.030420804,0.0,-1.204948760529419,0.0,0.0012429359735197996,-1.2037058245558991
2022-12-07,40.678948317766746,167.9697933699472,0.02706638,0.0,-1.2049487605294473,0.0,0.0011010318731690357,-1.2038477286562783
2022-12-08,40.49980578692214,166.76484460941776,0.009974308,0.0,-1.2049487605294473,0.0,0.0004039575368589438,-1.2045448029925885
2022-12-09,40.32066325607753,165.55989584888835,0.042129695,0.0,-1.204948760529419,0.0,0.0016986972451762535,-1.2032500632842427
2022-12-10,40.14152072523292,164.35494708835893,0.048320908,0.0,-1.204948760529419,0.0,0.0019396747299440737,-1.2030090857994749
2022-12-11,39.96237819438832,163.14999832782945,0.099864505,0.0,-1.2049487605294757,0.0,0.003990823117005384,-1.2009579374124704
2022-12-12,39.783235663543714,161.94504956730003,0.18948217,0.0,-1.204948760529419,0.0,0.007538213823149654,-1.1974105467062692
2022-12-13,39.604093132699106,160.7401008067706,0.15144597,0.0,-1.204948760529419,0.0,0.0059978803004519556,-1.198950880228967
2022-12-14,39.4249506018545,159.53515204624117,0.010256462,0.0,-1.2049487605294473,0.0,0.00040436050769979777,-1.2045444000217476
2022-12-15,39.24580807100989,158.33020328571172,0.029387834,0.0,-1.2049487605294473,0.0,0.0011533492927866989,-1.2037954112366607
2022-12-16,39.06666554016529,157.1252545251823,0.014663306,0.0,-1.204948760529419,0.0,0.000572846471215099,-1.2043759140582038
2022-12-17,38.88752300932068,155.92030576465288,0.007722353,0.0,-1.204948760529419,0.0,0.00030030317997359666,-1.2046484573494454
2022-12-18,38.70838047847607,154.71535700412343,0.0045818966,0.0,-1.2049487605294473,0.0,0.00017735779690583587,-1.2047714027325416
2022-12-19,38.529237947631465,153.510408243594,0.18101172,0.0,-1.2049487605294473,0.0,0.006974243631190041,-1.1979745168982572
2022-12-20,38.35009541678686,152.30545948306457,0.15701778,0.0,-1.204948760529419,0.0,0.006021646845132047,-1.198927113684287
2022-12-21,38.170952885942256,151.10051072253512,0.015782503,0.0,-1.2049487605294473,0.0,0.0006024331784352424,-1.204346327351012
2022-12-22,37.99181035509765,149.89556196200567,0.029397234,0.0,-1.2049487605294473,0.0,0.0011168541390924288,-1.2038319063903549
2022-12-23,37.81266782425304,148.69061320147625,0.0556931,0.0,-1.204948760529419,0.0,0.002105904690402907,-1.202842855839016
2022-12-24,37.63352529340843,147.48566444094683,0.26308155,0.0,-1.204948760529419,0.0,0.009900686166154096,-1.1950480743632648
2022-12-25,37.454382762563824,146.2807156804174,0.18430124,0.0,-1.2049487605294473,0.0,0.006902889186575139,-1.198045871342872
2022-12-26,37.27524023171922,145.07576691988794,0.16749877,0.0,-1.2049487605294473,0.0,0.006243556890267485,-1.1987052036391799
2022-12-27,37.096097700874616,143.87081815935852,0.049692366,0.0,-1.204948760529419,0.0,0.00184339286412362,-1.2031053676652952
2022-12-28,36.91695517003001,142.6658693988291,0.04812615,0.0,-1.204948760529419,0.0,0.0017766709220561397,-1.2031720896073628
2022-12-29,36.7378126391854,141.46092063829963,0.05757315,0.0,-1.2049487605294757,0.0,0.002115111597747717,-1.202833648931728
2022-12-30,36.55867010834079,140.2559718777702,0.045886815,0.0,-1.204948760529419,0.0,0.0016775609319074638,-1.2032711995975114
2022-12-31,36.37952757749619,139.0510231172408,0.009658092,0.0,-1.204948760529419,0.0,0.00035135682425999537,-1.204597403705159
2023-01-01,36.20038504665158,137.84607435671134,0.035014935,0.0,-1.2049487605294473,0.0,0.0012675541293834772,-1.203681206400064
2023-01-02,36.021242515806975,136.6411255961819,0.1174202,0.0,-1.2049487605294473,0.0,0.004229621500454558,-1.2007191390289929
2023-01-03,35.842099984962374,135.43617683565247,0.17958295,0.0,-1.204948760529419,0.0,0.006436630049494498,-1.1985121304799244
2023-01-04,35.66295745411776,134.23122807512306,0.033219945,0.0,-1.204948760529419,0.0,0.001184721485163132,-1.2037640390442557
2023-01-05,35.48381492327316,133.0262793145936,0.03497989,0.0,-1.2049487605294473,0.0,0.0012412199427964535,-1.2037075405866509
2023-01-06,35.30467239242855,131.82133055406416,0.10928186,0.0,-1.2049487605294473,0.0,0.0038581602657352418,-1.201090600263712
2023-01-07,35.12552986158394,130.61638179353474,0.104818225,0.0,-1.204948760529419,0.0,0.0036817956922757245,-1.2012669648371432
2023-01-08,34.94638733073934,129.4114330330053,0.062986284,0.0,-1.2049487605294473,0.0,0.0022011430771879505,-1.2027476174522593
2023-01-09,34.767244799894726,128.20648427247585,0.024391094,0.0,-1.2049487605294473,0.0,0.0008480111360352434,-1.2041007493934122
2023-01-10,34.588102269050125,127.00153551194643,0.040997606,0.0,-1.204948760529419,0.0,0.0014180293891142232,-1.2035307311403047
2023-01-11,34.40895973820552,125.796586751417,0.11014223,0.0,-1.2049487605294331,0.0,0.003789879557546172,-1.201158880971887
2023-01-12,34.22981720736091,124.59163799088756,0.2028882,0.0,-1.2049487605294331,0.0,0.006944825999530482,-1.1980039345299027
2023-01-13,34.05067467651631,123.38668923035813,0.27600828,0.0,-1.2049487605294331,0.0,0.009398268150304824,-1.1955504923791282
2023-01-14,33.871532145671694,122.1817404698287,0.2339798,0.0,-1.2049487605294331,0.0,0.007925254317137833,-1.1970235062122954
2023-01-15,33.69238961482709,120.97679170929926,0.19523387,0.0,-1.2049487605294331,0.0,0.0065778956140505026,-1.1983708649153826
2023-01-16,33.513247083982485,119.77184294876983,0.10669749,0.0,-1.2049487605294331,0.0,0.0035757793456107504,-1.2013729811838223
2023-01-17,33.33410455313788,118.56689418824038,0.07327896,0.0,-1.2049487605294473,0.0,0.0024426885141852085,-1.202506072015262
2023-01-18,33.154962022293276,117.36194542771096,0.07608498,0.0,-1.204948760529419,0.0,0.0025225946223669435,-1.2024261659070519
2023-01-19,32.97581949144867,116.15699666718152,0.090100974,0.0,-1.2049487605294473,0.0,0.00297115345462771,-1.2019776070748196
2023-01-20,32.79667696060406,114.9520479066521,0.060083102,0.0,-1.204948760529419,0.0,0.001970526087085024,-1.2029782344423339
2023-01-21,32.61753442975945,113.74709914612265,0.1585555,0.0,-1.2049487605294473,0.0,0.005171689480277724,-1.1997770710491695
2023-01-22,32.438391898914844,112.5421503855932,0.17616391,0.0,-1.2049487605294473,0.0,0.005714473951025164,-1.1992342865784222
2023-01-23,32.25924936807024,111.33720162506378,0.09795103,0.0,-1.204948760529419,0.0,0.0031598267026293294,-1.2017889338267895
2023-01-24,32.080106837225635,110.13225286453434,0.043594763,0.0,-1.2049487605294473,0.0,0.0013985246545835312,-1.2035502358748638
2023-01-25,31.900964306381027,108.92730410400492,0.09343269,0.0,-1.204948760529419,0.0,0.0029805929087391636,-1.2019681676206797
2023-01-26,31.721821775536423,107.72235534347547,0.12742066,0.0,-1.2049487605294473,0.0,0.004042015467041223,-1.200906745062406
2023-01-27,31.542679244691815,106.51740658294605,0.23096871,0.0,-1.204948760529419,0.0,0.007285371935090244,-1.1976633885943286
2023-01-28,31.363536713847207,105.3124578224166,0.10829356,0.0,-1.2049487605294473,0.0,0.003396469044933215,-1.201552291484514
2023-01-29,31.184394183002603,104.10750906188719,0.03859787,0.0,-1.204948760529419,0.0,0.0012036511927042905,-1.2037451093367146
2023-01-30,31.005251652157995,102.90256030135774,0.07746587,0.0,-1.2049487605294473,0.0,0.0024018487938033566,-1.202546911735644
2023-01-31,30.82610912131339,101.69761154082829,0.065604895,0.0,-1.2049487605294473,0.0,0.002022343652162307,-1.202926416877285
2023-02-01,30.646966590468782,100.49266278029887,0.025578236,0.0,-1.204948760529419,0.0,0.0007838953441351258,-1.2041648651852839
2023-02-02,30.467824059624174,99.28771401976942,0.036112957,0.0,-1.2049487605294473,0.0,0.0011002832201487734,-1.2038484773092986
2023-02-03,30.28868152877957,98.08276525924,0.030781081,0.0,-1.204948760529419,0.0,0.0009323183595205677,-1.2040164421698982
2023-02-04,30.109538997934962,96.87781649871056,0.05876563,0.0,-1.2049487605294473,0.0,0.0017694060282232168,-1.2031793545012242
2023-02-05,29.930396467090358,95.67286773818114,0.08374312,0.0,-1.204948760529419,0.0,0.002506464782991124,-1.2024422957464278
2023-02-06,29.75125393624575,94.46791897765169,0.057512593,0.0,-1.2049487605294473,0.0,0.0017110717588749498,-1.2032376887705725
2023-02-07,29.572111405401145,93.26297021712227,0.06443738,0.0,-1.204948760529419,0.0,0.0019055493800321677,-1.2030432111493867
2023-02-08,29.392968874556537,92.05802145659283,0.036884367,0.0,-1.2049487605294473,0.0,0.0010841410511887204,-1.2038646194782585
2023-02-09,29.21382634371193,90.85307269606338,0.09348621,0.0,-1.2049487605294473,0.0,0.002731089904471786,-1.2022176706249756
2023-02-10,29.034683812867325,89.64812393553396,0.15699579,0.0,-1.204948760529419,0.0,0.004558323122601318,-1.2003904374068175
2023-02-11,28.855541282022717,88.44317517500451,0.05080274,0.0,-1.2049487605294473,0.0,0.0014659405613098669,-1.2034828199681376
2023-02-12,28.676398751178112,87.2382264144751,0.06282643,0.0,-1.204948760529419,0.0,0.0018016357587929792,-1.203147124770626
2023-02-13,28.497256220333504,86.03327765394565,0.11835895,0.0,-1.2049487605294473,0.0,0.0033729053241196424,-1.2015758552053277
2023-02-14,28.3181136894889,84.82832889341623,0.05745088,0.0,-1.204948760529419,0.0,0.0016269005514011842,-1.2033218599780178
2023-02-15,28.138971158644292,83.62338013288678,0.070504166,0.0,-1.2049487605294473,0.0,0.0019839146936382695,-1.202964845835809
2023-02-16,27.959828627799684,82.41843137235736,0.09095117,0.0,-1.204948760529419,0.0,0.0025429791266978756,-1.202405781402721
2023-02-17,27.78068609695508,81.21348261182791,0.07920292,0.0,-1.2049487605294473,0.0,0.002200311458482245,-1.202748449070965
2023-02-18,27.60154356611047,80.00853385129847,0.09242601,0.0,-1.2049487605294473,0.0,0.002551100541656762,-1.2023976599877906
2023-02-19,27.422401035265867,78.80358509076905,0.080608726,0.0,-1.204948760529419,0.0,0.002210484811313863,-1.202738275718105
2023-02-20,27.24325850442126,77.5986363302396,0.100372136,0.0,-1.2049487605294473,0.0,0.0027344640476889277,-1.2022142964817584
2023-02-21,27.06411597357665,76.39368756971018,0.13264604,0.0,-1.204948760529419,0.0,0.0035899478099956873,-1.2013588127194232
2023-02-22,26.884973442732047,75.18873880918073,0.12056095,0.0,-1.2049487605294473,0.0,0.0032412779389805464,-1.2017074825904668
2023-02-23,26.70583091188744,73.98379004865131,0.260179,0.0,-1.204948760529419,0.0,0.006948296380823962,-1.1980004641485948
2023-02-24,26.526688381042835,72.77884128812187,0.16905677,0.0,-1.2049487605294473,0.0,0.004484516256495631,-1.2004642442729516
2023-02-25,26.347545850198227,71.57389252759245,0.21939944,0.0,-1.204948760529419,0.0,0.0057806368049078145,-1.199168123724511
2023-02-26,26.168403319353622,70.368943767063,0.2710351,0.0,-1.2049487605294473,0.0,0.007092555810501341,-1.197856204718946
2023-02-27,25.989260788509014,69.16399500653355,0.34674206,0.0,-1.2049487605294473,0.0,0.009011569823684841,-1.1959371907057625
2023-02-28,25.810118257664406,67.95904624600414,0.22249494,0.0,-1.204948760529419,0.0,0.005742620713131947,-1.199206139816287
2023-03-01,25.630975726819802,66.75409748547469,0.38493237,0.0,-1.2049487605294473,0.0,0.00986619223193722,-1.1950825682975101
2023-03-02,25.451833195975194,65.54914872494527,0.30834267,0.0,-1.204948760529419,0.0,0.007847886204041624,-1.1971008743253773
2023-03-03,25.27269066513059,64.34419996441582,0.27598205,0.0,-1.2049487605294473,0.0,0.006974808978778603,-1.1979739515506687
2023-03-04,25.09354813428598,63.1392512038864,0.2398938,0.0,-1.204948760529419,0.0,0.006019786617416775,-1.1989289739120021
2023-03-05,24.914405603441377,61.934302443356955,0.39543477,0.0,-1.2049487605294473,0.0,0.009852022249483552,-1.1950967382799638
2023-03-06,24.73526307259677,60.729353682827536,0.34599563,0.0,-1.204948760529419,0.0,0.008558292930018854,-1.1963904675994002
