date,area_km2,volume_mcm,evaporation_mm,precipitation_mm,delta_volume_mcm,precipitation_volume_mcm,evaporation_volume_mcm,residual_mcm,predicted,runoff_volume_mcm,temp_C
2025-03-30,49.548988244252016,211.87721290348213,0.032420907,0.0,-0.5387467784833575,0.0,0.0016064231398109,-0.5371403553435465,False,,
2025-03-31,49.512463872881,211.3384661249988,0.032420907,0.0,-0.5387467784833575,0.0,0.0016052389865635,-0.537141539496794,False,,
2025-04-01,49.475939501509984,210.79971934651545,0.032420907,0.0,-0.5387467784833575,0.0,0.001604054833316,-0.5371427236500415,False,,
2025-04-02,49.43941513013897,210.26097256803203,0.032420907,0.0,-0.5387467784833859,0.0,0.0016028706800686,-0.5371439078033173,False,,
2025-04-03,49.40289075876795,209.72222578954867,0.032420907,0.0,-0.5387467784833575,0.0,0.0016016865268211,-0.5371450919565364,False,,
2025-04-04,49.36636638739694,209.1834790110653,0.032420907,0.0,-0.5387467784833575,0.0,0.0016005023735737,-0.5371462761097838,False,,
2025-04-05,49.32984201602592,208.644732232582,0.032420907,0.0,-0.5387467784833575,0.0,0.0015993182203262,-0.5371474602630313,False,,
2025-04-06,49.293317644654906,208.1059854540986,0.032420907,0.0,-0.5387467784833575,0.0,0.0015981340670788,-0.5371486444162787,False,,
2025-04-07,49.25679327328389,207.5672386756152,0.032420907,0.0,-0.5387467784833859,0.0,0.0015969499138313,-0.5371498285695545,False,,
2025-04-08,49.22026890191288,207.02849189713183,0.032420907,0.0,-0.5387467784833575,0.0,0.0015957657605839,-0.5371510127227735,False,,
2025-04-09,49.18374453054186,206.4897451186485,0.032420907,0.0,-0.5387467784833575,0.0,0.0015945816073364,-0.537152196876021,False,,
2025-04-10,49.14722015917084,205.95099834016517,0.032420907,0.0,-0.5387467784833575,0.0,0.001593397454089,-0.5371533810292685,False,,
2025-04-11,49.11069578779984,205.41225156168176,0.032420907,0.0,-0.5387467784833575,0.0,0.0015922133008415,-0.5371545651825159,False,,
2025-04-12,49.07417141642882,204.87350478319843,0.032420907,0.0,-0.5387467784833575,0.0,0.001591029147594,-0.5371557493357634,False,,
2025-04-13,49.0376470450578,204.33475800471507,0.032420907,0.0,-0.5387467784833575,0.0,0.0015898449943466,-0.5371569334890108,False,,
2025-04-14,49.00112267368679,203.7960112262317,0.032420907,0.0,-0.5387467784833575,0.0,0.0015886608410991,-0.5371581176422583,False,,
2025-04-15,48.96459830231577,203.25726444774835,0.032420907,0.0,-0.5387467784833575,0.0,0.0015874766878517,-0.5371593017955058,False,,
2025-04-16,48.92807393094476,202.718517669265,0.032420907,0.0,-0.5387467784833575,0.0,0.0015862925346042,-0.5371604859487532,False,,
2025-04-17,48.89154955957374,202.17977089078164,0.032420907,0.0,-0.5387467784833575,0.0,0.0015851083813568,-0.5371616701020007,False,,
2025-04-18,48.85502518820272,201.64102411229825,0.032420907,0.0,-0.5387467784833859,0.0,0.0015839242281093,-0.5371628542552765,False,,
2025-04-19,48.81850081683171,201.1022773338149,0.032420907,0.0,-0.5387467784833575,0.0,0.0015827400748619,-0.5371640384084956,False,,
2025-04-20,48.78197644546069,200.56353055533157,0.032420907,0.0,-0.5387467784833575,0.0,0.0015815559216144,-0.537165222561743,False,,
2025-04-21,50.03447721994534,226.8671115422884,0.032420907,0.0,26.30358098695683,0.0,0.0016221631327414,26.30520315008957,False,,
2025-04-22,51.286977994429975,253.17069252924523,0.032420907,0.0,26.30358098695686,0.0,0.0016627703438684,26.30524375730073,False,,
2025-04-23,52.53947876891462,279.47427351620206,0.032420907,0.0,26.30358098695683,0.0,0.0017033775549954,26.305284364511827,False,,
2025-04-24,53.79197954339927,305.7778545031589,0.032420907,0.0,26.30358098695683,0.0,0.0017439847661224,26.305324971722957,False,,
2025-04-25,55.04448031788391,332.0814354901157,0.032420907,0.0,26.30358098695683,0.0,0.0017845919772494,26.30536557893408,False,,
2025-04-26,56.29698109236855,358.3850164770725,0.032420907,0.0,26.30358098695683,0.0,0.0018251991883764,26.30540618614521,False,,
2025-04-27,57.54948186685319,384.68859746402944,0.032420907,0.0,26.303580986956888,0.0,0.0018658063995034,26.305446793356392,False,,
2025-04-28,58.80198264133783,410.9921784509863,0.032420907,0.0,26.30358098695683,0.0,0.0019064136106304,26.30548740056746,False,,
2025-04-29,60.05448341582248,437.2957594379431,0.032420907,0.0,26.30358098695683,0.0,0.0019470208217574,26.305528007778587,False,,
2025-04-30,61.30698419030712,463.5993404249,0.032420907,0.0,26.303580986956888,0.0,0.0019876280328844,26.30556861498977,False,,
2025-05-01,56.03853698435717,387.75715322826346,0.032420907,0.0,-75.84218719663653,0.0,0.0018168201959859,-75.84037037644055,False,,
2025-05-02,50.770089778407225,311.91496603162693,0.032420907,0.0,-75.84218719663653,0.0,0.0016460123590873,-75.84054118427744,False,,
2025-05-03,45.50164257245727,236.0727788349905,0.032420907,0.0,-75.84218719663647,0.0,0.0014752045221888,-75.84071199211428,False,,
2025-05-04,40.23319536650733,160.23059163835393,0.032420907,0.0,-75.84218719663653,0.0,0.0013043966852903,-75.84088279995125,False,,
2025-05-05,34.96474816055738,84.3884044417174,0.032420907,0.0,-75.84218719663653,0.0,0.0011335888483918,-75.84105360778814,False,,
2025-05-06,35.89940539161337,95.01764643505484,0.032420907,0.0,10.62924199333743,0.0,0.0011638912835567,10.630405884620988,False,,
2025-05-07,36.83406262266936,105.64688842839224,0.032420907,0.0,10.629241993337416,0.0,0.0011941937187217,10.630436187056135,False,,
2025-05-08,37.768719853725365,116.27613042172968,0.032420907,0.0,10.62924199333743,0.0,0.0012244961538866,10.630466489491315,False,,
2025-05-09,38.70337708478136,126.90537241506708,0.032420907,0.0,10.629241993337416,0.0,0.0012547985890516,10.630496791926468,False,,
2025-05-10,39.63803431583735,137.53461440840454,0.032420907,0.0,10.629241993337445,0.0,0.0012851010242165,10.63052709436166,False,,
2025-05-11,40.57269154689335,148.16385640174195,0.032420907,0.0,10.629241993337416,0.0,0.0013154034593815,10.630557396796798,False,,
2025-05-12,41.50734877794934,158.79309839507937,0.032420907,0.0,10.629241993337416,0.0,0.0013457058945464,10.630587699231963,False,,
2025-05-13,42.44200600900534,169.4223403884168,0.032420907,0.0,10.629241993337416,0.0,0.0013760083297114,10.630618001667129,False,,
2025-05-14,43.37666324006133,180.05158238175423,0.032420907,0.0,10.629241993337445,0.0,0.0014063107648763,10.63064830410232,False,,
2025-05-15,44.31132047111733,190.68082437509165,0.032420907,0.0,10.629241993337416,0.0,0.0014366132000412,10.630678606537458,False,,
