date,area_km2,volume_mcm,evaporation_mm,precipitation_mm,delta_volume_mcm,precipitation_volume_mcm,evaporation_volume_mcm,residual_mcm,predicted
2025-05-15,44.31132047111733,145.49986462939972,0.032420907,0.0,3.3936217570817178,0.0,0.0014366132000412,3.395058370281759,False
2025-05-16,45.24597770217332,148.8934863864814,0.032420907,0.0,3.3936217570816893,0.0,0.0014669156352062,3.3950886727168954,False
2025-05-17,46.180634933229314,152.28710814356313,0.032420907,0.0,3.3936217570817178,0.0,0.0014972180703711,3.395118975152089,False
2025-05-18,47.115292164285314,155.68072990064485,0.032420907,0.0,3.3936217570817178,0.0,0.0015275205055361,3.395149277587254,False
2025-05-19,48.04994939534131,159.07435165772657,0.032420907,0.0,3.3936217570817178,0.0,0.001557822940701,3.3951795800224187,False
2025-05-20,48.9846066263973,162.46797341480828,0.032420907,0.0,3.3936217570817178,0.0,0.001588125375866,3.395209882457584,False
2025-05-21,49.919263857453295,165.86159517188997,0.032420907,0.0,3.3936217570816893,0.0,0.0016184278110309,3.3952401848927205,False
2025-05-22,50.853921088509296,169.2552169289717,0.032420907,0.0,3.3936217570817178,0.0,0.0016487302461958,3.3952704873279136,False
2025-05-23,51.78857831956529,172.6488386860534,0.032420907,0.0,3.3936217570817178,0.0,0.0016790326813608,3.3953007897630787,False
2025-05-24,52.72323555062128,176.04246044313513,0.032420907,0.0,3.3936217570817178,0.0,0.0017093351165257,3.395331092198244,False
2025-05-25,53.65789278167728,179.43608220021684,0.032420907,0.0,3.3936217570817178,0.0,0.0017396375516907,3.3953613946334085,False
2025-05-26,54.59255001273327,182.82970395729853,0.032420907,0.0,3.3936217570816893,0.0,0.0017699399868556,3.395391697068545,False
2025-05-27,55.52720724378926,186.22332571438028,0.032420907,0.0,3.393621757081746,0.0,0.0018002424220206,3.3954219995037667,False
2025-05-28,56.46186447484526,189.616947471462,0.032420907,0.0,3.3936217570816893,0.0,0.0018305448571855,3.395452301938875,False
2025-05-29,57.39652170590126,193.0105692285437,0.032420907,0.0,3.3936217570817178,0.0,0.0018608472923505,3.3954826043740685,False
2025-05-30,58.33117893695725,196.4041909856254,0.032420907,0.0,3.3936217570817178,0.0,0.0018911497275154,3.395512906809233,False
2025-05-31,55.176733699395896,184.58702700609268,0.032420907,0.0,-11.817163979532722,0.0,0.0017888797518318,-11.81537509978089,False
2025-06-01,52.022288461834535,172.76986302655996,0.032420907,0.0,-11.817163979532722,0.0,0.0016866097761483,-11.815477369756572,False
2025-06-02,48.86784322427318,160.95269904702724,0.032420907,0.0,-11.817163979532722,0.0,0.0015843398004647,-11.815579639732258,False
2025-06-03,45.71339798671182,149.13553506749454,0.032420907,0.0,-11.817163979532694,0.0,0.0014820698247811,-11.815681909707912,False
2025-06-04,42.558952749150464,137.31837108796182,0.032420907,0.0,-11.817163979532722,0.0,0.0013797998490976,-11.815784179683623,False
2025-06-05,39.4045075115891,125.5012071084291,0.032420907,0.0,-11.817163979532722,0.0,0.001277529873414,-11.815886449659308,False
2025-06-06,36.25006227402775,113.6840431288964,0.032420907,0.0,-11.817163979532708,0.0,0.0011752598977304,-11.815988719634978,False
2025-06-07,33.09561703646639,101.86687914936368,0.032420907,0.0,-11.817163979532722,0.0,0.0010729899220468,-11.816090989610675,False
2025-06-08,29.94117179890503,90.04971516983095,0.032420907,0.0,-11.817163979532722,0.0,0.0009707199463633,-11.81619325958636,False
2025-06-09,26.786726561343677,78.23255119029824,0.032420907,0.0,-11.817163979532708,0.0,0.0008684499706797,-11.816295529562028,False
2025-06-10,31.037043568631148,101.57193957982078,0.032420907,0.0,23.33938838952254,0.0,0.0010062491030935,23.340394638625632,False
2025-06-11,35.28736057591862,124.91132796934332,0.032420907,0.0,23.33938838952254,0.0,0.0011440482355073,23.340532437758046,False
2025-06-12,39.53767758320609,148.25071635886584,0.032420907,0.0,23.33938838952253,0.0,0.0012818473679211,23.34067023689045,False
2025-06-13,43.78799459049357,171.5901047483884,0.032420907,0.0,23.339388389522554,0.0,0.0014196465003348,23.34080803602289,False
2025-06-14,48.03831159778104,194.92949313791087,0.032420907,0.0,23.33938838952253,0.0,0.0015574456327486,23.340945835155274,False
2025-06-15,48.11722312063352,194.94079908882583,0.032420907,0.0,0.0113059509149024,0.0,0.0015600040158923,0.0128659549307948,False
2025-06-16,48.19613464348599,194.9521050397408,0.032420907,0.0,0.0113059509149309,0.0,0.0015625623990359,0.0128685133139668,False
2025-06-17,48.27504616633847,194.9634109906557,0.032420907,0.0,0.0113059509149024,0.0,0.0015651207821795,0.012871071697082,False
2025-06-18,48.35395768919094,194.97471694157056,0.032420907,0.0,0.0113059509149024,0.0,0.0015676791653231,0.0128736300802256,False
2025-06-19,48.43286921204342,194.9860228924855,0.032420907,0.0,0.0113059509149309,0.0,0.0015702375484668,0.0128761884633977,False
2025-06-20,48.51178073489589,194.9973288434004,0.032420907,0.0,0.0113059509149024,0.0,0.0015727959316104,0.0128787468465129,False
2025-06-21,48.59069225774837,195.0086347943153,0.032420907,0.0,0.0113059509149024,0.0,0.001575354314754,0.0128813052296565,False
2025-06-22,48.66960378060085,195.0199407452302,0.032420907,0.0,0.0113059509149024,0.0,0.0015779126978977,0.0128838636128002,False
2025-06-23,48.74851530345333,195.03124669614516,0.032420907,0.0,0.0113059509149309,0.0,0.0015804710810413,0.0128864219959722,False
2025-06-24,48.8274268263058,195.04255264706003,0.032420907,0.0,0.0113059509149024,0.0,0.0015830294641849,0.0128889803790874,False
2025-06-25,48.90633834915828,195.0538585979749,0.032420907,0.0,0.0113059509149024,0.0,0.0015855878473285,0.012891538762231,False
2025-06-26,48.98524987201076,195.06516454888987,0.032420907,0.0,0.0113059509149309,0.0,0.0015881462304722,0.0128940971454031,False
2025-06-27,49.06416139486323,195.0764704998048,0.032420907,0.0,0.0113059509149024,0.0,0.0015907046136158,0.0128966555285183,False
2025-06-28,49.143072917715706,195.08777645071967,0.032420907,0.0,0.0113059509149024,0.0,0.0015932629967594,0.0128992139116619,False
2025-06-29,49.22198444056818,195.0990824016346,0.032420907,0.0,0.0113059509149309,0.0,0.0015958213799031,0.012901772294834,False
2025-06-30,49.30089596342066,195.1103883525495,0.032420907,0.0,0.0113059509149024,0.0,0.0015983797630467,0.0129043306779492,False
2025-07-01,49.37980748627314,195.1216943034644,0.032420907,0.0,0.0113059509149024,0.0,0.0016009381461903,0.0129068890610928,False
2025-07-02,49.45871900912561,195.1330002543793,0.032420907,0.0,0.0113059509149309,0.0,0.0016034965293339,0.0129094474442649,False
2025-07-03,49.53763053197809,195.14430620529424,0.032420907,0.0,0.0113059509149024,0.0,0.0016060549124776,0.0129120058273801,False
2025-07-04,49.61654205483056,195.15561215620917,0.032420907,0.0,0.0113059509149024,0.0,0.0016086132956212,0.0129145642105237,False
2025-07-05,49.69545357768304,195.16691810712408,0.032420907,0.0,0.0113059509149309,0.0,0.0016111716787648,0.0129171225936957,False
2025-07-06,49.77436510053551,195.17822405803895,0.032420907,0.0,0.0113059509149024,0.0,0.0016137300619085,0.012919680976811,False
2025-07-07,49.85327662338799,195.18953000895388,0.032420907,0.0,0.0113059509149024,0.0,0.0016162884450521,0.0129222393599546,False
2025-07-08,49.93218814624046,195.2008359598688,0.032420907,0.0,0.0113059509149309,0.0,0.0016188468281957,0.0129247977431266,False
2025-07-09,50.01109966909294,195.2121419107837,0.032420907,0.0,0.0113059509149024,0.0,0.0016214052113393,0.0129273561262418,False
2025-07-10,50.09001119194542,195.22344786169865,0.032420907,0.0,0.0113059509149024,0.0,0.001623963594483,0.0129299145093855,False
2025-07-11,50.16892271479789,195.23475381261352,0.032420907,0.0,0.0113059509149024,0.0,0.0016265219776266,0.0129324728925291,False
2025-07-12,50.24783423765037,195.24605976352845,0.032420907,0.0,0.0113059509149309,0.0,0.0016290803607702,0.0129350312757011,False
2025-07-13,50.326745760502845,195.25736571444332,0.032420907,0.0,0.0113059509149024,0.0,0.0016316387439139,0.0129375896588164,False
2025-07-14,50.405657283355325,195.26867166535823,0.032420907,0.0,0.0113059509149024,0.0,0.0016341971270575,0.01294014804196,False
2025-07-15,50.4845688062078,195.2799776162732,0.032420907,0.0,0.0113059509149309,0.0,0.0016367555102011,0.012942706425132,False
2025-07-16,50.56348032906028,195.2912835671881,0.032420907,0.0,0.0113059509149024,0.0,0.0016393138933447,0.0129452648082472,False
2025-07-17,50.563480329060305,195.2912835671881,,,,1.0458926824047499,2.4591079924994284,,True
2025-07-18,41.37150466689581,193.8780682570934,,,-1.4132153100946994,0.6100462736430761,2.0673915727441172,0.04412998900634202,True
2025-07-19,41.37145092947939,192.42072295799233,,,-1.457345299101064,1.7197824932205155,2.104053321672619,-1.0730744706489603,True
2025-07-20,41.37143676007043,192.03645212954024,,,-0.38427082845208815,0.49917355723750234,2.1514230088477952,1.2679786231582049,True
2025-07-21,41.37131976594775,190.38420267792995,,,-1.6522494516102881,0.2892924291530994,2.1970053110209897,0.2554634302576022,True
2025-07-22,41.37110873576171,188.47648979606205,,,-1.9077128818678943,0.24735395891323295,2.004949803022851,-0.1501170377582759,True
2025-07-23,41.37103199448806,186.71889395195245,,,-1.757595844109602,1.3792790811153295,1.977749708067206,-1.1591252171577255,True
2025-07-24,41.37100992668192,186.1204233250006,,,-0.5984706269518654,1.4216187647202863,1.7718539164549514,-0.24823547521720024,True
2025-07-25,41.37099701222784,185.77018817326592,,,-0.35023515173466535,0.4115484269829732,1.8486178325715275,1.0868342538538889,True
2025-07-26,41.37085908265438,184.33311876767735,,,-1.4370694055885735,3.118693626313205,1.6133056671806494,-2.9424573647211285,True
2025-07-27,41.37099953138338,185.83850672680992,,,1.5053879591325767,0.9078725970902228,1.6623836059413628,2.259898967983717,True
2025-07-28,41.37094214464676,185.0839957179588,,,-0.7545110088511251,1.1111637198884734,1.6929144002565681,-0.17276032848303036,True
2025-07-29,41.37087779139878,184.5022450375907,,,-0.5817506803680885,1.576305548317453,2.015357391830773,-0.1426988368547688,True
2025-07-30,41.37082922349312,184.0631931940774,,,-0.4390518435133117,0.9644257100712338,1.8917606195496621,0.4882830659651167,True
2025-07-31,41.370726641725014,183.13585828459895,,,-0.9273349094784464,0.8479791624634494,1.7197035183429985,-0.05561055359889733,True
2025-08-01,41.370659042671406,182.2641339287194,,,-0.8717243558795644,0.8308410098617613,1.9620705834149923,0.2595052176736665,True
2025-08-02,41.370617329705176,181.13290435516615,,,-1.1312295735532416,0.8382942182254188,1.9794963460276191,0.009972554248958598,True
2025-08-03,41.37057524901092,179.99170222736396,,,-1.1412021278021882,0.28678507858176544,1.9413993109438177,0.5134121045598641,True
2025-08-04,41.370514237514385,178.33708799500192,,,-1.6546142323620359,0.35487828341224864,1.8442582131080352,-0.16523430266624928,True
2025-08-05,41.37044296708401,176.84770806530614,,,-1.4893799296957866,0.546777865624254,1.8150358655828194,-0.22112192973722133,True
2025-08-06,41.37025590234649,175.57945006534757,,,-1.2682579999585641,1.1630077427680772,1.6462291890627483,-0.785036553663893,True
2025-08-07,41.37018462844716,175.0962286190529,,,-0.4832214462946638,0.8750521169464879,1.6130108489844872,0.25473728574333565,True
2025-08-08,41.37007578146452,174.3582698870149,,,-0.7379587320380097,1.6686447719315192,1.5756625609215429,-0.8309409430479859,True
2025-08-09,41.37008949609743,174.4512520980249,,,0.09298221100999626,2.285376707346514,1.4938449811410985,-0.6985495151954193,True
2025-08-10,41.37020624495657,175.2427838242303,,,0.7915317262053918,0.3567759518354358,1.6443372980872335,2.0790930724571894,True
2025-08-11,41.370024096901055,173.95522247797848,,,-1.287561346251806,0.4214547155495311,1.422402762689933,-0.2866132991114043,True
