date,value
2021-01-01,-17.623550415039062
2021-01-02,-15.850494384765625
2021-01-03,-17.324859619140625
2021-01-04,-19.617874145507812
2021-01-05,-19.075408935546875
2021-01-06,-20.929824829101562
2021-01-07,-23.537811279296875
2021-01-08,-20.013351440429688
2021-01-09,-11.8853759765625
2021-01-10,-8.0963134765625
2021-01-11,-12.22430419921875
2021-01-12,-20.918685913085938
2021-01-13,-27.395416259765625
2021-01-14,-26.407943725585938
2021-01-15,-11.0977783203125
2021-01-16,-6.339569091796875
2021-01-17,-10.31719970703125
2021-01-18,-20.428619384765625
2021-01-19,-14.455841064453125
2021-01-20,-14.194305419921875
2021-01-21,-20.147354125976562
2021-01-22,-17.158294677734375
2021-01-23,-25.557754516601562
2021-01-24,-16.186859130859375
2021-01-25,-2.12774658203125
2021-01-26,-3.31817626953125
2021-01-27,-4.76165771484375
2021-01-28,-7.695068359375
2021-01-29,-8.0615234375
2021-01-30,-8.903778076171875
2021-01-31,-13.4398193359375
2021-02-01,-10.7913818359375
2021-02-02,-3.316741943359375
2021-02-03,0.22021484375
2021-02-04,-1.209686279296875
2021-02-05,1.108978271484375
2021-02-06,-0.622100830078125
2021-02-07,-11.874969482421875
2021-02-08,-18.721572875976562
2021-02-09,-21.944915771484375
2021-02-10,-20.254592895507812
2021-02-11,-16.54058837890625
2021-02-12,-8.27398681640625
2021-02-13,-1.8697509765625
2021-02-14,-3.381072998046875
2021-02-15,-8.124237060546875
2021-02-16,-16.045623779296875
2021-02-17,-18.133636474609375
2021-02-18,-15.510589599609375
2021-02-19,-18.946060180664062
2021-02-20,-18.346847534179688
2021-02-21,-24.981704711914062
2021-02-22,-26.143539428710938
2021-02-23,-17.524795532226562
2021-02-24,-20.210784912109375
2021-02-25,-24.003021240234375
2021-02-26,-26.581375122070312
2021-02-27,-18.122528076171875
2021-02-28,-7.07275390625
2021-03-01,-10.8211669921875
2021-03-02,-10.41632080078125
2021-03-03,-4.74188232421875
2021-03-04,-3.3414306640625
2021-03-05,-0.969146728515625
2021-03-06,-5.90484619140625
2021-03-07,-5.23577880859375
2021-03-08,-8.9453125
2021-03-09,-4.79669189453125
2021-03-10,-6.12109375
2021-03-11,-12.321990966796875
2021-03-12,-17.739364624023438
2021-03-13,-15.609130859375
2021-03-14,-15.296722412109375
2021-03-15,-13.22833251953125
2021-03-16,-9.854644775390625
2021-03-17,-8.385467529296875
2021-03-18,-6.77130126953125
2021-03-19,-1.21136474609375
2021-03-20,0.383819580078125
2021-03-21,-1.5345458984375
2021-03-22,-4.54534912109375
2021-03-23,-5.068450927734375
2021-03-24,-3.332733154296875
2021-03-25,-3.862762451171875
2021-03-26,-3.7991943359375
2021-03-27,-2.4903564453125
2021-03-28,-2.55902099609375
2021-03-29,-2.22552490234375
2021-03-30,-5.240447998046875
2021-03-31,-4.4453125
2021-04-01,-0.28546142578125
2021-04-02,0.301055908203125
2021-04-03,1.260772705078125
2021-04-04,2.62060546875
2021-04-05,1.72540283203125
2021-04-06,0.14251708984375
2021-04-07,3.70953369140625
2021-04-08,1.558990478515625
2021-04-09,2.239105224609375
2021-04-10,2.975433349609375
2021-04-11,3.1546630859375
2021-04-12,7.0989990234375
2021-04-13,7.55712890625
2021-04-14,7.5565185546875
2021-04-15,8.677581787109375
2021-04-16,10.665863037109375
2021-04-17,8.62567138671875
2021-04-18,7.2574462890625
2021-04-19,-1.190032958984375
2021-04-20,1.209991455078125
2021-04-21,6.5040283203125
2021-04-22,8.26812744140625
2021-04-23,9.283355712890625
2021-04-24,8.342315673828125
2021-04-25,10.71746826171875
2021-04-26,10.2154541015625
2021-04-27,9.035797119140625
2021-04-28,9.96881103515625
2021-04-29,8.591064453125
2021-04-30,8.927276611328125
2021-05-01,11.27178955078125
2021-05-02,15.0130615234375
2021-05-03,13.54400634765625
2021-05-04,16.29052734375
2021-05-05,19.169891357421875
2021-05-06,12.176300048828125
2021-05-07,13.22637939453125
2021-05-08,14.979583740234375
2021-05-09,14.802093505859375
2021-05-10,13.92230224609375
2021-05-11,14.537567138671875
2021-05-12,16.96942138671875
2021-05-13,19.09027099609375
2021-05-14,21.584228515625
2021-05-15,22.798187255859375
2021-05-16,23.953887939453125
2021-05-17,24.23992919921875
2021-05-18,23.28948974609375
2021-05-19,16.5260009765625
2021-05-20,17.70751953125
2021-05-21,20.639404296875
2021-05-22,23.563934326171875
2021-05-23,25.621826171875
2021-05-24,26.80340576171875
2021-05-25,27.57281494140625
2021-05-26,24.687255859375
2021-05-27,18.568511962890625
2021-05-28,19.40423583984375
2021-05-29,21.8326416015625
2021-05-30,25.122833251953125
2021-05-31,21.512054443359375
2021-06-01,17.28985595703125
2021-06-02,20.117706298828125
2021-06-03,20.158599853515625
2021-06-04,14.360595703125
2021-06-05,15.49603271484375
2021-06-06,18.850128173828125
2021-06-07,21.044921875
2021-06-08,20.56097412109375
2021-06-09,19.40814208984375
2021-06-10,20.058868408203125
2021-06-11,19.54534912109375
2021-06-12,20.432281494140625
2021-06-13,21.94580078125
2021-06-14,24.0814208984375
2021-06-15,26.4033203125
2021-06-16,27.81658935546875
2021-06-17,27.65631103515625
2021-06-18,18.97259521484375
2021-06-19,18.631072998046875
2021-06-20,22.9559326171875
2021-06-21,17.755615234375
2021-06-22,21.288330078125
2021-06-23,20.0096435546875
2021-06-24,19.613983154296875
2021-06-25,23.162841796875
2021-06-26,25.23504638671875
2021-06-27,25.99560546875
2021-06-28,24.255523681640625
2021-06-29,26.714813232421875
2021-06-30,29.26751708984375
2021-07-01,30.2806396484375
