elevation_m,area_km2,volume_mcm
-13.611703,0.019825484593550654,0.0
-13.543303,0.020138518560817244,0.0013672913801163822
-13.474902,0.020868931151105954,0.002788491153845689
-13.406502,0.021390654429883603,0.004234505343256666
-13.3381,0.02159934374139466,0.005704205694692011
-13.2697,0.02170368839715019,0.007182961530587953
-13.2013,0.021808033052905722,0.008668841943027198
-13.132899,0.02191237770866125,0.010167166780353306
-13.064499,0.02212106702017231,0.011676773756209131
-12.9960985,0.022642790298949955,0.013214409347176046
-12.927698,0.023060168921972074,0.014786860191058585
-12.859297,0.023268858233483136,0.016371771381558903
-12.790896,0.023581892200749723,0.017972691872499003
-12.722496,0.023686236856505255,0.019586910193103265
-12.654096,0.023999270823771842,0.02121381176455818
-12.585695,0.023999270823771842,0.022855370881497798
-12.517295,0.023999270823771842,0.024496928406264325
-12.4488945,0.023999270823771842,0.02613848911537703
-12.380493,0.024207960135282904,0.027784999890632687
-12.312093,0.024312304791038433,0.029444741624282633
-12.243692,0.02441664944679396,0.03110793837354216
-12.175292,0.02441664944679396,0.03277804196967467
-12.106892,0.024729683414060552,0.034455253026489746
-12.038491,0.02483402806981608,0.03615010536116387
-11.970091,0.02483402806981608,0.03784876935822018
-11.90169,0.02556444066010479,0.03956637703072479
-11.833289,0.02556444066010479,0.041314993866368666
-11.764889,0.02556444066010479,0.04306360114897398
-11.696488,0.02556444066010479,0.0448122275376564
-11.628088,0.02556444066010479,0.04656085074199264
-11.559688,0.02619050859463797,0.048324714227165236
-11.491287,0.02984257154608151,0.05021442944221974
-11.422886,0.0357902169241467,0.052452442074181836
-11.3544855,0.041529172990700844,0.05509392728938077
-11.286085,0.048624609582076865,0.05816626728065227
-11.217685,0.056033080140719484,0.06173964503789052
-11.149284,0.06396327397813974,0.06583769477847275
-11.080884,0.08994509326126665,0.07092369429131647
-11.012484,0.1329350914325449,0.07841174802978826
-10.944082,0.30510377342916906,0.09473505684677369
-10.875683,0.38795343009905964,0.11823350007142693
-10.8072815,0.4617251017182192,0.14739551315107557
-10.738881,0.5240188612042704,0.1810895131944851
-10.670481,0.5863126206903216,0.21903741761810389
-10.60208,0.6584147778173928,0.26159103298833425
-10.53368,0.7489859390131925,0.30944683950252877
-10.465279,0.8805645499209156,0.3654609664147614
-10.396879,1.0235167283059914,0.4305856096583403
-10.328478,1.1503998297047155,0.5050612510570771
-10.260077,1.2664310869048647,0.5876962573194003
-10.191677,1.3808971742686809,0.6782040882382938
-10.123277,1.502458698223873,0.7767357072976461
-10.054876,1.6445761193629045,0.8841302024543116
-9.986475,2.1564910004995337,1.0077101433442748
-9.918076,2.303408275803319,1.1606402794359731
-9.849674,2.429978343234777,1.3226843709528964
-9.781274,2.6127901801184654,1.4950286250607185
-9.712873,2.759394421454984,1.6790750711720765
-9.644473,2.8830428385252875,1.8722643101477012
-9.576073,2.991352591199527,2.073230079151294
-9.507671,3.0886018103636808,2.2810866713978672
-9.439272,3.184077170379991,2.4954760135277283
-9.370871,3.283100248691988,2.716500412215075
-9.30247,3.3785756087082977,2.94436223902859
-9.23407,3.4889722544976487,3.179148515780788
-9.165669,3.6164814238309058,3.4219568993386593
-9.097269,3.7734157860872224,3.6744387661584295
-9.028868,3.975531384285684,3.939006271211821
-8.960468,5.519101876877235,4.27078396246112
-8.892067,5.7071309465487,4.6550889979755405
-8.823667,5.851961328737375,5.050615567543107
-8.755266,5.975192367184656,5.455256398233132
-8.686866,6.091849692319339,5.867922392701168
-8.618465,6.19755082859969,6.2882666864860886
-8.550064,6.296469562255932,6.715689705413611
-8.481665,6.410100892373705,7.150232209114892
-8.413263,6.514862926752256,7.592167694714976
-8.344863,6.61816413595023,8.0413526883122
-8.276463,6.727726024493537,8.497821427996737
-8.208062,6.834366262675688,8.961674997653844
-8.139662,6.949771451941304,9.433135944869626
-8.07126,7.078741446455139,9.912803436222058
-8.002861,7.260927215404293,10.402605402264745
-7.93446,8.46433413023282,10.967637419529302
-7.8660593,8.743977807657638,11.556417628289717
-7.797659,8.969049230122316,12.16243671545062
-7.7292585,9.218641646689543,12.784037394409264
-7.660858,9.460929937353884,13.423195692084022
-7.5924573,9.666071530569255,14.077510866199896
-7.524057,9.861717760110874,14.74546828886318
-7.4556565,10.063102945719045,15.426569877381171
-7.3872557,10.278261625886946,16.122216132680332
-7.3188553,10.476933850445475,16.832113585416355
-7.250455,10.65985003198492,17.554876408129985
-7.1820545,10.843287936803142,18.290377430772025
-7.1136537,11.048638219330025,19.039065009285167
-7.0452533,11.304386970586828,19.803024406399278
-6.976853,12.494542114134399,20.60745322609407
-6.908452,12.866635156558617,21.47557793658663
-6.8400517,13.180399536415496,22.36668455750935
-6.7716513,13.455347704331318,23.2780291504929
-6.703251,13.71787885821223,24.20738623967625
-6.63485,13.989070618520852,25.154718326198733
-6.5664496,14.253166942238098,26.1207297364867
-6.4980493,14.546897148189915,27.10534384243359
-6.4296484,14.820384490925157,28.109729630260905
-6.361248,15.07686365477225,29.132228998173282
-6.2928476,15.335847090357476,30.17223870362963
-6.2244473,15.617055937618629,31.23074676008914
-6.1560464,15.89336058605927,32.308600967879826
-6.087646,16.165595792925448,33.40474483736215
-6.0192456,16.49605531770321,34.52066527988065
-5.950845,17.89521280672911,35.71190952077267
-5.8824444,18.218263860948227,36.94691330167217
-5.814044,18.500724844078448,38.202658843673575
-5.7456436,18.762421240713316,39.47719620602244
-5.6772428,19.026308875119053,40.769661284538316
-5.608843,19.27517087909599,42.07946061899157
-5.5404415,19.50890290798838,43.40591270834931
